variant,kind,crop_P,crop_R,crop_F1,mask_P,mask_R,mask_F1,caption_P,caption_tp_fp,footnote_P,footnote_tp_fp,strict_P,strict_R,strict_F1,strict_tp_fp_fn,emitted,unlabelled,unrecog,icons
18_hybrid_best_family_fixes_footnote_expand_1_2,figures,81.6%,100.0%,89.9%,100.0%,100.0%,100.0%,90.3%,56/6,—,—/—,72.4%,100.0%,84.0%,55/21/0,76,0,0,14
18_hybrid_best_family_fixes_footnote_expand_1_2,tables,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,94.3%,33/2,91.4%,32/3,83.8%,83.8%,83.8%,31/6/6,37,0,0,0
