case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC11649512_HIS-86-294|3542,23.0,26,24,24,23.0,26,24,24
PMC11649512_HIS-86-294|3543,8.0,8,8,8,8.0,8,8,8
PMC11649512_HIS-86-294|3544,5.0,5,5,5,5.0,5,5,5
PMC11649512_HIS-86-294|3545,18.5,25,23,23,18.0,26,23,23
PMC11649512_HIS-86-294|3546,13.5,17,16,16,13.5,17,16,16
PMC11649512_HIS-86-294|3547,4.0,5,5,5,4.0,5,5,5
PMC11649512_HIS-86-294|3549,10.5,12,14,12,10.5,12,14,12
PMC11649514_HIS-86-204|3554,0.0,0,0,0,0.0,0,0,0
PMC11649514_HIS-86-204|3556,1.0,3,2,2,1.0,3,2,2
PMC11649514_HIS-86-204|3557,1.5,3,3,3,1.5,3,3,3
PMC11649514_HIS-86-204|3558,6.0,8,8,8,6.0,8,8,8
PMC11649514_HIS-86-204|3559,5.0,6,6,6,5.0,6,6,6
PMC11649514_HIS-86-204|3561,6.0,7,7,7,6.0,7,7,7
PMC11649514_HIS-86-204|3562,4.5,5,5,5,4.5,5,5,5
PMC11649514_HIS-86-204|3563,5.0,5,8,5,5.0,5,8,5
PMC11649514_HIS-86-204|3564,3.0,4,4,4,3.0,4,4,4
PMC11649514_HIS-86-204|3566,0.0,3,0,0,0.0,3,0,0
PMC11649514_HIS-86-204|3568,0.0,0,0,0,0.0,0,0,0
PMC11649514_HIS-86-204|3569,3.5,4,4,4,3.5,4,4,4
PMC11649514_HIS-86-204|3571,0.0,4,0,0,0.0,4,0,0
PMC11649514_HIS-86-204|3572,0.5,1,1,1,0.5,1,1,1
PMC11649514_HIS-86-204|3573,0.0,0,0,0,0.0,0,0,0
PMC11649514_HIS-86-204|3574,2.0,4,3,3,2.0,4,3,3
PMC11649514_HIS-86-204|3576,3.0,3,3,3,3.0,3,3,3
PMC11649514_HIS-86-204|3577,1.0,1,1,1,1.0,1,1,1
PMC11649514_HIS-86-204|3578,1.0,2,3,2,1.0,2,3,2
PMC11649514_HIS-86-204|3580,2.5,3,5,3,2.5,3,5,3
PMC11649514_HIS-86-204|3581,2.0,4,2,2,2.0,4,2,2
PMC11649514_HIS-86-204|3585,4.5,6,5,5,4.5,6,5,5
PMC11649514_HIS-86-204|3587,0.0,0,0,0,0.0,0,0,0
PMC11649514_HIS-86-204|3588,6.0,7,6,6,6.0,7,6,6
PMC11649514_HIS-86-204|3591,0.0,0,0,0,0.0,0,0,0
PMC12605734_HIS-87-904|21143,2.5,4,3,3,2.5,4,3,3
PMC12605734_HIS-87-904|21144,7.5,9,8,8,7.5,9,8,8
PMC12605734_HIS-87-904|21146,0.0,0,0,0,0.0,0,0,0
PMC12605734_HIS-87-904|21147,7.5,10,9,9,7.5,10,9,9
PMC12605734_HIS-87-904|21148,2.5,6,5,5,2.5,6,5,5
PMC12605734_HIS-87-904|21149,4.5,5,5,5,4.5,5,5,5
PMC12605734_HIS-87-904|21151,6.5,7,15,7,6.5,7,15,7
PMC12605734_HIS-87-904|21153,2.5,3,4,3,2.5,3,4,3
PMC12605734_HIS-87-904|21154,2.0,2,2,2,2.0,2,2,2
PMC12605734_HIS-87-904|21155,4.0,5,5,5,4.0,5,5,5
PMC12605734_HIS-87-904|21157,2.5,4,5,4,2.5,4,5,4
PMC12605734_HIS-87-904|21158,2.0,4,2,2,2.0,4,2,2
PMC12605734_HIS-87-904|21159,9.0,11,10,10,9.0,11,10,10
PMC12605734_HIS-87-904|21162,8.5,11,9,9,8.5,11,9,9
PMC12605734_HIS-87-904|21164,17.5,18,20,18,17.5,18,20,18
PMC12605734_HIS-87-904|21165,3.5,4,4,4,3.5,4,4,4
PMC12605734_HIS-87-904|21169,4.5,5,6,5,4.5,5,6,5
PMC12605734_HIS-87-904|21170,9.5,10,11,10,9.5,10,11,10
PMC12605734_HIS-87-904|21171,24.0,26,25,25,24.0,26,25,25
PMC12605734_HIS-87-904|21172,6.5,8,10,8,6.5,8,10,8
PMC12605734_HIS-87-904|21173,16.0,20,18,18,16.0,20,18,18
PMC12605734_HIS-87-904|21174,10.0,11,13,11,10.0,11,13,11
PMC12605734_HIS-87-904|21175,5.0,9,8,8,5.0,9,8,8
PMC2253716_his0052-0355|27133,2.0,3,3,3,2.0,3,3,3
PMC2253716_his0052-0355|27134,6.5,8,8,8,6.5,8,8,8
PMC2253716_his0052-0355|27139,7.0,9,15,9,7.0,9,15,9
PMC2253716_his0052-0355|27140,4.5,5,7,5,4.5,5,7,5
PMC2253716_his0052-0355|27143,4.0,5,6,5,4.0,5,6,5
PMC2253716_his0052-0355|27144,22.5,24,23,23,22.5,24,23,23
PMC2253716_his0052-0355|27145,4.5,6,6,5,4.5,6,6,5
PMC2253716_his0052-0355|27148,0.0,0,0,0,0.0,0,0,0
PMC2253716_his0052-0355|27149,0.0,0,0,0,0.0,0,0,0
PMC2253716_his0052-0355|27150,4.5,6,11,6,4.5,6,11,6
PMC2253716_his0052-0355|27153,7.5,10,9,8,7.5,10,9,8
PMC2253716_his0052-0355|27155,0.0,3,0,0,0.0,3,0,0
PMC2253716_his0052-0355|27156,5.0,5,6,5,5.0,5,6,5
PMC2253716_his0052-0355|27157,8.0,9,9,9,8.0,9,9,9
PMC2253716_his0052-0355|27158,2.0,5,3,3,2.0,5,3,3
PMC2253716_his0052-0355|27159,1.0,2,2,2,1.0,2,2,2
PMC2253716_his0052-0355|27160,8.0,11,13,11,8.0,11,13,11
PMC2253716_his0052-0355|27161,0.0,0,0,0,0.0,0,0,0
PMC2253716_his0052-0355|27164,3.5,5,5,5,3.5,5,5,5
PMC2253716_his0052-0355|27166,4.0,4,4,4,4.0,4,4,4
PMC2253716_his0052-0355|27167,2.0,4,2,2,2.0,4,2,2
PMC2253716_his0052-0355|27168,1.0,4,2,2,1.0,4,2,2
PMC2253716_his0052-0355|27170,2.5,4,3,3,2.5,4,3,3
PMC2253716_his0052-0355|27171,9.5,16,15,13,9.5,16,15,13
PMC2253716_his0052-0355|27172,5.0,9,6,6,5.0,9,6,6
PMC2253716_his0052-0355|27174,5.5,9,6,6,5.5,9,6,6
PMC3564399_his0057-0212|13496,1.5,2,2,2,1.5,2,2,2
PMC3564399_his0057-0212|13497,4.0,6,4,4,4.0,6,4,4
PMC3564399_his0057-0212|13499,1.5,3,3,3,1.5,3,3,3
PMC3564399_his0057-0212|13500,0.0,0,1,0,0.0,0,1,0
PMC3564399_his0057-0212|13502,2.0,5,3,3,2.0,5,3,3
PMC3564399_his0057-0212|13504,3.0,4,7,4,3.0,4,7,4
PMC3564399_his0057-0212|13506,0.0,0,0,0,0.0,0,0,0
PMC3564399_his0057-0212|13507,3.5,4,4,4,3.5,4,4,4
PMC3564399_his0057-0212|13509,5.5,10,9,9,5.5,10,9,9
PMC3564399_his0057-0212|13510,0.0,0,0,0,0.0,0,0,0
PMC3564399_his0057-0212|13511,4.0,6,5,5,4.0,6,5,5
PMC3564399_his0057-0212|13512,0.0,6,0,0,0.0,6,0,0
PMC3564399_his0057-0212|13513,2.5,3,4,3,2.5,3,4,3
PMC3564399_his0057-0212|13514,2.0,4,3,3,2.0,4,3,3
PMC3564399_his0057-0212|13515,2.5,3,4,3,2.5,3,4,3
PMC3564399_his0057-0212|13516,0.0,3,0,0,0.0,3,0,0
PMC3564399_his0057-0212|13517,4.0,4,4,4,4.0,4,4,4
PMC3564399_his0057-0212|13518,3.0,4,3,3,3.0,4,3,3
PMC3564399_his0057-0212|13519,1.0,2,2,2,1.0,2,2,2
PMC3564399_his0057-0212|13520,4.5,6,12,6,4.5,6,12,6
PMC3564399_his0057-0212|13521,3.5,5,5,5,3.5,5,5,5
PMC3564399_his0057-0212|13523,3.0,3,3,3,3.0,3,3,3
PMC3564399_his0057-0212|13524,3.5,4,4,4,3.5,4,4,4
PMC3564399_his0057-0212|13525,4.0,5,4,4,4.0,5,4,4
PMC3564399_his0057-0212|13526,1.5,3,2,2,0.0,0,2,0
PMC3564399_his0057-0212|13528,3.0,4,4,4,3.0,4,4,4
PMC3564399_his0057-0212|13529,1.0,2,3,2,3.0,4,3,3
PMC4282325_his0064-0567|19285,4.5,9,9,7,4.5,9,9,7
PMC4282325_his0064-0567|19286,4.0,4,6,4,4.0,4,6,4
PMC4282325_his0064-0567|19288,3.0,3,6,3,3.0,3,6,3
PMC4282325_his0064-0567|19289,4.0,4,5,4,4.0,4,5,4
PMC4282325_his0064-0567|19290,0.0,0,0,0,0.0,0,0,0
PMC4282325_his0064-0567|19292,2.5,4,3,3,2.5,4,3,3
PMC4282325_his0064-0567|19293,0.0,0,0,0,0.0,0,0,0
PMC4282325_his0064-0567|19295,0.0,2,0,0,0.0,2,0,0
PMC4282325_his0064-0567|19296,0.0,8,0,0,0.0,8,0,0
PMC4282325_his0064-0567|19298,0.0,0,0,0,0.0,0,0,0
PMC4282325_his0064-0567|19300,4.5,6,6,6,4.5,6,6,6
PMC4282325_his0064-0567|19301,1.5,7,3,3,1.5,7,3,3
