case_id,cascade_strict_tp,cascade_n_pipeline,cascade_n_silver,cascade_n_matched,sonnet_strict_tp,sonnet_n_pipeline,sonnet_n_silver,sonnet_n_matched
PMC11863696_main|4633,0.0,4,0,0,0.0,4,0,0
PMC11863696_main|4638,0.0,7,0,0,0.0,7,0,0
PMC11863696_main|4639,2.5,3,5,3,2.5,3,5,3
PMC11863696_main|4640,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4641,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4642,0.0,0,0,0,0.0,0,0,0
PMC11863696_main|4646,2.5,3,3,3,2.5,3,3,3
PMC11863696_main|4647,4.0,4,5,4,4.0,4,5,4
PMC11863696_main|4651,2.0,4,2,2,2.0,4,2,2
PMC11863696_main|4652,4.0,8,6,6,4.0,8,6,6
PMC11863696_main|4653,2.5,5,3,3,2.5,5,3,3
PMC11863696_main|4654,0.0,0,0,0,0.0,0,0,0
PMC11982779_CYT-36-285|7827,8.0,10,10,9,8.0,10,10,9
PMC11982779_CYT-36-285|7829,0.0,9,0,0,0.0,9,0,0
PMC11982779_CYT-36-285|7830,0.0,3,0,0,0.0,3,0,0
PMC11982779_CYT-36-285|7832,24.0,24,24,24,24.0,24,24,24
PMC11982779_CYT-36-285|7833,0.0,4,0,0,0.0,4,0,0
PMC11982779_CYT-36-285|7834,0.0,0,0,0,0.0,2,0,0
PMC11982779_CYT-36-285|7836,3.5,4,6,4,3.5,4,6,4
PMC11982779_CYT-36-285|7837,0.5,1,1,1,0.5,1,1,1
PMC11982779_CYT-36-285|7838,11.5,15,12,12,11.5,15,12,12
PMC11982779_CYT-36-285|7839,9.5,11,11,11,9.5,11,11,11
PMC11982779_CYT-36-285|7840,2.5,4,3,3,2.5,4,3,3
PMC11982779_CYT-36-285|7841,4.5,9,5,5,4.5,9,5,5
PMC12131327_HIS-87-153|8557,1.5,4,3,3,1.5,4,3,3
PMC12131327_HIS-87-153|8558,3.0,9,3,3,3.0,9,3,3
PMC12131327_HIS-87-153|8559,5.0,8,5,5,5.0,8,5,5
PMC12131327_HIS-87-153|8561,4.0,6,5,5,4.0,6,5,5
PMC12131327_HIS-87-153|8567,0.0,0,0,0,0.0,0,0,0
PMC12131327_HIS-87-153|8568,0.0,0,0,0,0.0,0,0,0
PMC12286168_dermatopathology-12-00020|9884,6.5,8,7,7,6.5,8,7,7
PMC12286168_dermatopathology-12-00020|9885,2.5,3,3,3,2.5,3,3,3
PMC12286168_dermatopathology-12-00020|9886,11.0,12,11,11,11.0,12,11,11
PMC12286168_dermatopathology-12-00020|9888,1.0,2,2,2,2.0,3,2,2
PMC12286168_dermatopathology-12-00020|9890,2.5,5,3,3,2.5,5,3,3
PMC7120154_978-88-470-0828-1_Chapter_30|18712,6.5,7,7,7,6.5,7,7,7
PMC7120154_978-88-470-0828-1_Chapter_30|18713,4.0,5,5,5,4.0,5,5,5
PMC7120154_978-88-470-0828-1_Chapter_30|18716,11.0,27,13,13,11.0,27,13,13
PMC7120154_978-88-470-0828-1_Chapter_30|18718,0.0,0,0,0,0.0,4,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18719,3.0,4,4,4,3.0,4,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18720,3.0,5,4,4,3.0,5,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18721,4.5,5,6,5,4.5,5,6,5
PMC7120154_978-88-470-0828-1_Chapter_30|18723,7.0,9,8,7,7.0,9,8,7
PMC7120154_978-88-470-0828-1_Chapter_30|18724,1.5,2,2,2,1.5,2,2,2
PMC7120154_978-88-470-0828-1_Chapter_30|18730,2.0,4,3,3,2.0,4,3,3
PMC7120154_978-88-470-0828-1_Chapter_30|18733,0.0,7,0,0,0.0,7,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18737,0.0,3,0,0,0.0,3,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18741,0.0,0,0,0,0.0,0,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18743,1.0,2,2,2,1.0,2,2,2
PMC7120154_978-88-470-0828-1_Chapter_30|18747,0.0,5,0,0,0.0,5,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18749,4.0,4,4,4,4.0,4,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18751,4.0,6,5,5,4.0,6,5,5
PMC7120154_978-88-470-0828-1_Chapter_30|18753,3.0,5,5,5,3.0,5,5,5
PMC7120154_978-88-470-0828-1_Chapter_30|18755,0.0,5,0,0,0.0,5,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18757,4.0,9,4,4,4.0,9,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18761,2.5,3,3,3,2.5,3,3,3
PMC7120154_978-88-470-0828-1_Chapter_30|18762,6.5,7,7,7,6.5,7,7,7
PMC7120154_978-88-470-0828-1_Chapter_30|18763,0.0,0,0,0,0.0,0,0,0
PMC7120154_978-88-470-0828-1_Chapter_30|18767,1.0,10,1,1,1.0,10,1,1
PMC7120154_978-88-470-0828-1_Chapter_30|18769,4.5,6,6,6,4.5,6,6,6
PMC7120154_978-88-470-0828-1_Chapter_30|18773,2.0,6,4,4,2.0,6,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18775,3.5,8,4,4,3.5,8,4,4
PMC7120154_978-88-470-0828-1_Chapter_30|18780,6.0,10,9,9,6.0,10,9,9
PMC7428710_main|23619,0.0,0,0,0,0.0,0,0,0
PMC7428710_main|23620,8.0,10,9,9,8.0,10,9,9
PMC7428710_main|23621,3.0,3,3,3,3.0,3,3,3
PMC7428710_main|23622,3.0,4,4,4,3.0,4,4,4
PMC7428710_main|23625,0.0,0,0,0,0.0,0,0,0
PMC7428710_main|23628,4.0,7,7,7,4.0,7,7,7
PMC7428710_main|23629,3.5,6,5,5,3.5,6,5,5
PMC7428710_main|23632,3.0,5,4,4,3.0,5,4,4
PMC7428710_main|23633,0.0,4,0,0,0.0,4,0,0
PMC7428710_main|23635,0.0,0,0,0,0.0,0,0,0
PMC7428710_main|23638,0.0,0,0,0,0.0,0,0,0
PMC7428710_main|23639,4.0,7,4,4,4.0,7,4,4
PMC7428710_main|23640,8.5,11,10,10,8.5,11,10,10
PMC7428710_main|23641,1.0,1,1,1,1.0,1,1,1
PMC7428710_main|23642,8.0,9,9,9,8.0,9,9,9
PMC7428710_main|23643,7.0,9,8,8,7.0,9,8,8
PMC7428710_main|23644,3.0,4,4,4,3.0,4,4,4
PMC7768511_dermatopathology-07-00010|25099,5.5,7,7,7,5.5,7,7,7
PMC7768511_dermatopathology-07-00010|25101,6.5,7,8,7,6.5,7,8,7
PMC7768511_dermatopathology-07-00010|25102,2.0,5,2,2,2.0,5,2,2
PMC7768511_dermatopathology-07-00010|25103,2.5,12,3,3,2.5,17,3,3
PMC7768511_dermatopathology-07-00010|25104,18.5,35,19,19,18.5,35,19,19
PMC7768511_dermatopathology-07-00010|25106,1.0,2,2,2,1.0,2,2,2
PMC7768511_dermatopathology-07-00010|25107,4.0,8,5,5,4.0,8,5,5
PMC7768511_dermatopathology-07-00010|25108,5.0,5,5,5,5.0,5,5,5
PMC7768511_dermatopathology-07-00010|25109,4.0,8,8,7,4.0,8,8,7
PMC7768511_dermatopathology-07-00010|25111,0.0,0,0,0,0.0,0,0,0
PMC7768511_dermatopathology-07-00010|25112,5.5,6,6,6,5.5,6,6,6
PMC7768511_dermatopathology-07-00010|25113,0.0,0,0,0,0.0,0,0,0
PMC8395860_dermatopathology-08-00043|27609,3.5,5,4,4,3.5,5,4,4
PMC8395860_dermatopathology-08-00043|27618,5.5,7,7,6,5.5,7,7,6
PMC8395860_dermatopathology-08-00043|27619,13.0,22,13,13,13.0,22,13,13
PMC8395860_dermatopathology-08-00043|27620,3.5,5,4,4,3.5,5,4,4
